16808	18635
8744	14659
14626	14733
4195	239
12429	6910
291	15806
11153	3533
3418	7369
15868	5945
9341	7703
5869	9050
1475	14908
13416	12089
1210	16784
5642	2401
9683	15442
4438	10528
10091	11054
1840	5435
11340	2532
12858	4673
15339	5327
751	1911
6704	12767
16205	5003
16207	18329
10829	3960
929	18906
4250	5387
14311	15239
3933	13302
2150	8420
13087	3284
9648	2759
8899	7694
13699	12282
3051	5109
11406	3215
19019	10412
6916	2225
5131	19145
11880	1892
13633	12086
4946	6990
11227	1419
6134	1449
17381	2328
16243	4722
18887	19203
10359	11125
5232	3203
15882	1419
4203	739
14053	13008
7500	230
10610	13157
13186	18626
14396	6729
8053	17385
12719	8528
10591	848
18145	1254
2671	2354
17169	4911
8002	13083
11438	12196
15058	15268
3043	18447
2386	12373
11507	8982
18696	16507
734	17098
10022	6686
6251	12950
18361	10832
6763	3754
7736	5650
6690	7064
11055	15976
276	6592
4629	10177
4599	13076
9789	9290
9576	10225
16452	18380
8282	9710
1779	12029
2245	3301
12681	19335
13159	18533
7521	3718
2418	6585
2003	7031
5657	3081
3949	13511
3865	15134
13066	15311
14206	6930
19108	2757
5595	1128
1665	4281
4064	3757
12753	17946
13677	3959
7555	16593
9464	8793
8471	13526
16698	10067
15174	15558
1812	7336
14121	8534
5056	10497
11548	16410
18510	6477
18582	19247
16353	12746
5980	14445
14696	15575
12638	13761
5849	70
5501	17376
12156	18762
3974	17728
18122	9219
16780	1797
12620	18999
7009	10003
7607	10325
8564	5137
11607	6745
18305	10221
2595	14276
2545	14719
6310	12326
1243	1441
7463	5356
14551	4292
15770	5358
429	4505
831	18631
10442	9093
760	16923
7380	11642
8639	6941
13089	7690
10790	14665
10344	4504
17933	3563
10984	8698
5351	5582
5009	8605
2406	7772
16311	9375
13911	5701
9832	5359
17706	14674
9408	2027
11129	11262
10193	5042
13384	14255
16625	2393
1684	12297
11271	5683
7504	9138
15027	8744
18050	6949
15943	12805
8464	12246
2210	8151
18101	1438
16471	1941
4456	19452
19238	4289
11911	16732
4696	11253
5004	5855
7214	8456
5615	5139
16838	15671
7470	18746
1574	8318
5738	17404
14240	17603
4238	3645
18096	17689
8354	18904
394	7646
13349	10250
4092	5951
16250	13753
5159	1389
4693	3871
7426	6147
6026	16764
19086	1016
17439	12954
16184	12642
17011	6470
4406	10045
5228	1460
3150	14073
6100	19197
291	19150
614	1556
8331	9889
5236	9257
2355	5784
3392	12730
15951	5492
9992	1540
14615	18414
10957	18117
2630	3466
13709	5912
9051	7009
14267	97
19106	4811
14284	16645
15215	12744
7676	261
9823	17659
11434	16323
4419	12076
16300	11681
7323	12367
18881	11422
14201	10949
17249	17271
14901	16368
17119	378
16273	14312
1351	7726
5900	12878
112	18023
14515	826
6077	4093
13799	8333
10656	8725
11016	5239
4431	15802
6640	15495
10221	19170
14199	9270
5312	9287
7570	15681
14894	9228
201	792
18731	5288
18148	10365
5614	14902
15257	1987
5427	2042
14734	382
11417	6421
14546	13431
11599	2514
7723	1946
3112	14329
3000	14934
11703	16633
5601	3262
718	8867
292	15261
14530	4707
7493	19197
6994	9570
7539	11062
11427	5496
14776	12922
8286	4609
4842	10861
3937	14805
17141	9863
5807	384
18776	14740
19063	14090
4282	17347
6532	312
1203	731
16445	13402
9021	16109
9737	11625
14819	17239
340	17941
16813	14025
16504	12120
13906	18109
18789	9835
2720	11373
11986	4215
13606	1017
7251	9969
15874	17911
1617	14273
14935	6372
3103	2971
12556	4691
14266	13873
2286	18788
5188	10265
4518	14131
10684	14490
10480	6385
15760	8982
9406	2920
13214	11934
6751	15890
7311	7723
3607	10209
9464	11734
16287	3812
14655	17192
6223	10939
3650	3833
15011	17836
2053	13405
2770	4660
19145	13258
2245	16396
18741	4462
8762	12751
10220	16587
14719	1299
374	1965
11280	1979
